"","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","yearEnd.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","yearEnd.y"
"1","Atlanta Hawks",82,19705,42.4,90.3,0.47,13.2,35.2,0.374,29.2,55.1,0.531,18.5,22.8,0.812,10.3,34.7,45,25.2,7.3,4.3,12.1,19.1,116.5,2022,26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,2022
"2","Boston Celtics",82,19905,41.7,89.5,0.466,13.5,38,0.356,28.2,51.5,0.547,17.4,21.4,0.816,10.8,36.4,47.2,25.4,7.4,6,14,19,114.4,2022,26.1,51,31,59,23,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,2022
"3","Brooklyn Nets",82,19755,42.2,89,0.475,11.5,31.9,0.361,30.7,57,0.538,17.6,21.9,0.805,10.4,34.3,44.7,25.4,7.1,5.5,14.1,20.5,113.6,2022,29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,2022
"4","Charlotte Hornets",82,19880,42.3,90.5,0.468,13.8,37.8,0.365,28.5,52.7,0.542,15.7,21.2,0.74,10.7,33.4,44.1,27.8,8.5,4.9,13.1,19.7,114.1,2022,25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100,0.234,0.418,0.572,2022
"5","Chicago Bulls",82,19730,42.3,88.2,0.48,10.8,29.3,0.369,31.6,58.9,0.535,17.8,21.9,0.813,8.8,34.2,42.9,24.2,7.2,4.2,13,19.1,113.2,2022,26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,2022
"6","Cleveland Cavaliers",82,19730,41.2,87.8,0.469,12.1,34,0.355,29.1,53.8,0.541,17.4,22.9,0.76,10.6,35.3,45.9,26.1,7.3,4.3,14.9,18.1,111.9,2022,24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,2022
"7","Dallas Mavericks",82,19755,41,88.9,0.461,13.7,39,0.35,27.4,49.9,0.548,17.1,22.2,0.771,9.7,35.3,44.9,24.4,7,4.1,13.1,20.5,112.8,2022,26.7,52,30,50,32,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,2022
"8","Denver Nuggets",82,19805,42.3,87.7,0.483,12.9,36.5,0.353,29.4,51.2,0.575,17,21.4,0.795,9.3,35.5,44.8,28.2,7.3,3.8,14.7,20.3,114.5,2022,27.7,48,34,47,35,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,2022
"9","Detroit Pistons",82,19780,38.6,89.6,0.431,11.4,35,0.326,27.2,54.6,0.498,17.4,22.3,0.782,11.1,32.4,43.5,23.7,7.8,4.8,14.3,22.2,106,2022,23.6,23,59,22,60,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,2022
"10","Golden State Warriors",82,19730,41.1,87.6,0.469,14.5,39.9,0.364,26.5,47.6,0.557,15.8,20.6,0.769,9.9,36.2,46.1,27.5,8.9,4.6,15.1,21.3,112.5,2022,27.6,53,29,55,27,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,2022
"11","Houston Rockets",82,19755,38.9,85.3,0.456,13.3,38.2,0.349,25.6,47.1,0.543,17.3,24.2,0.713,9.5,32,41.5,23.3,7.2,4.6,16.3,20.4,108.4,2022,24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,2022
"12","Indiana Pacers",82,19880,41.9,90.4,0.463,12.3,35.7,0.344,29.6,54.7,0.541,16.6,21.6,0.768,11.4,32.9,44.3,25.6,7.2,5.6,14.6,20.6,112.6,2022,26,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,2022
"13","Los Angeles Clippers",82,19780,40.7,88.8,0.458,13,34.7,0.374,27.7,54.1,0.512,15.8,19.9,0.793,9.3,35.4,44.7,24.4,7.5,5,13.9,18.9,110.1,2022,27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0,98,0.224,0.391,0.564,2022
"14","Los Angeles Lakers",82,19980,41,87.3,0.469,11.8,33.9,0.347,29.2,53.4,0.546,16.6,22.6,0.732,9.4,33.9,43.3,23.6,7.5,5.1,14.3,19.8,110.3,2022,30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3,100.1,0.259,0.388,0.567,2022
"15","Memphis Grizzlies",82,19780,43.2,93.6,0.461,11.4,32.4,0.353,31.8,61.2,0.519,16.8,23,0.734,14,34.7,48.8,25.8,9.7,6.4,13.1,19.6,114.6,2022,24,56,26,55,27,5.68,-0.32,5.37,114.6,109,5.6,100.3,0.245,0.346,0.553,2022
"16","Miami Heat",82,19855,40.9,87.6,0.467,14,37,0.379,26.9,50.6,0.531,17.8,22.1,0.808,10.2,35,45.2,26.3,7.6,3.3,15,21.2,113.7,2022,28.2,53,29,53,29,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,2022
"17","Milwaukee Bucks",82,19755,41.7,89.1,0.468,14,38.3,0.366,27.7,50.8,0.544,17.7,22.9,0.776,10.2,36.3,46.6,23.8,7.6,4,13.4,18.2,115.1,2022,28.5,51,31,49,33,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,2022
"18","Minnesota Timberwolves",82,19780,41,89.7,0.457,14.6,40.7,0.358,26.5,49,0.54,17.7,22.8,0.778,11.1,32.5,43.5,25.3,8.7,5.5,14.1,21.5,114.3,2022,24.2,46,36,48,34,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,2022
"19","New Orleans Pelicans",82,19755,41.2,90.1,0.457,10.9,32.8,0.332,30.2,57.3,0.528,18.8,23.8,0.789,12.3,34.1,46.3,25.6,8.5,4.1,14.4,20.1,112,2022,25.6,36,46,38,44,-0.99,0.15,-0.84,112,113,-1,97.2,0.264,0.365,0.557,2022
"20","New York Knicks",82,19780,39.1,89.4,0.437,13.7,38.3,0.357,25.4,51.1,0.497,18.6,25,0.744,11.9,35.9,47.8,22.7,7.2,5,13.7,21.1,110.4,2022,26,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,2022
"21","Oklahoma City Thunder",82,19805,38.6,89.9,0.43,12.2,37.7,0.323,26.4,52.2,0.507,15.2,20.1,0.756,10.5,35.5,46,22.4,7.6,4.7,14.1,18.4,104.6,2022,22.4,24,58,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,2022
"22","Orlando Magic",82,19780,38.4,88.5,0.434,12.2,36.9,0.331,26.2,51.6,0.507,15.5,19.7,0.787,9.1,35.3,44.4,23.8,6.8,4.5,14.5,19.7,104.5,2022,23.3,22,60,21,61,-8,0.33,-7.67,104.5,112.5,-8,99.2,0.223,0.417,0.538,2022
"23","Philadelphia 76ers",82,19805,40.7,87.3,0.466,12,32.8,0.364,28.7,54.4,0.527,20.2,24.6,0.821,8.8,34.9,43.7,24.5,8,5.5,12.9,20,113.5,2022,26.8,51,31,48,34,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,2022
"24","Phoenix Suns",82,19730,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,2022,27.5,64,18,59,23,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,2022
"25","Portland Trail Blazers",82,19730,39.1,88.4,0.442,12.9,37.4,0.346,26.2,51.1,0.513,16.7,21.9,0.76,10.6,32.9,43.5,23.3,8.1,4.5,14.7,21.4,107.8,2022,25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,2022
"26","Sacramento Kings",82,19805,40.3,87.7,0.46,11.4,33.1,0.344,29,54.7,0.53,17.8,23.2,0.768,9.5,33.2,42.8,23.6,7.1,4.5,14,18.9,109.9,2022,25.8,30,52,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,2022
"27","San Antonio Spurs",82,19805,43,92.1,0.467,11.2,31.8,0.352,31.7,60.3,0.527,15.3,20.3,0.754,10.9,34.1,45,27.7,7.6,4.9,12.6,18,112.4,2022,24.5,34,48,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100,0.22,0.345,0.556,2022
