season_id,team_id_home,team_abbreviation_home,Team,game_id,game_date,matchup_home,wl_home,team_id_away,team_abbreviation_away,team_name_away,game_yearEnd,FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MarginOfVictory,StrengthOfSchedule,SimpleRatngSystem,ORtg,DRtg,NRtg,Pace,FTr,X3PAr,TS.
22014,1610612759,SAS,San Antonio Spurs,21400002,2014-10-28 0:00,SAS vs. DAL,W,1610612742,DAL,Dallas Mavericks,2015,0.468,0.367,0.505,0.78,35.6,10.3,45.9,25.7,8.4,5.7,14.7,20.1,108.5,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555
22014,1610612747,LAL,Los Angeles Lakers,21400003,2014-10-28 0:00,LAL vs. HOU,L,1610612745,HOU,Houston Rockets,2015,0.435,0.344,0.461,0.741,33.9,12.2,46.1,22.0,7.4,4.7,13.9,22.3,103.4,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513
22014,1610612740,NOP,New Orleans Pelicans,21400001,2014-10-28 0:00,NOP vs. ORL,W,1610612753,ORL,Orlando Magic,2015,0.457,0.37,0.484,0.751,34.8,12.5,47.3,24.0,7.3,6.8,14.4,20.3,108.2,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537
22014,1610612761,TOR,Toronto Raptors,21400008,2014-10-29 0:00,TOR vs. ATL,W,1610612737,ATL,Atlanta Hawks,2015,0.455,0.352,0.499,0.787,32.9,11.5,44.4,22.1,8.0,4.6,13.8,22.3,111.0,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553
22014,1610612748,MIA,Miami Heat,21400007,2014-10-29 0:00,MIA vs. WAS,W,1610612764,WAS,Washington Wizards,2015,0.456,0.335,0.499,0.741,32.9,10.0,42.9,21.8,8.6,5.0,16.2,21.9,103.9,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54
22014,1610612757,POR,Portland Trail Blazers,21400015,2014-10-29 0:00,POR vs. OKC,W,1610612760,OKC,Oklahoma City Thunder,2015,0.45,0.362,0.491,0.801,37.0,11.3,48.2,23.1,6.7,4.8,14.3,19.2,108.2,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544
22014,1610612738,BOS,Boston Celtics,21400006,2014-10-29 0:00,BOS vs. BKN,W,1610612751,BKN,Brooklyn Nets,2015,0.443,0.327,0.488,0.754,33.8,11.5,45.3,25.3,8.5,3.7,14.3,21.9,104.7,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523
22014,1610612762,UTA,Utah Jazz,21400012,2014-10-29 0:00,UTA vs. HOU,L,1610612745,HOU,Houston Rockets,2015,0.447,0.343,0.486,0.721,35.3,13.3,48.6,22.0,8.4,6.6,16.9,21.3,105.1,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531
22014,1610612766,CHA,Charlotte Hornets,21400004,2014-10-29 0:00,CHA vs. MIL,W,1610612749,MIL,Milwaukee Bucks,2015,0.42,0.318,0.45,0.748,36.2,10.6,46.9,21.5,6.5,5.8,12.7,19.4,100.1,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498
22014,1610612756,PHX,Phoenix Suns,21400013,2014-10-29 0:00,PHX vs. LAL,W,1610612747,LAL,Los Angeles Lakers,2015,0.452,0.341,0.497,0.76,33.1,11.2,44.4,20.8,8.8,4.8,15.5,21.9,105.3,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537
