FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.468,0.367,0.78,35.6,10.3,45.9,25.7,8.4,5.7,14.7,20.1,108.5,0.14,102.0,6.5,93.8,0.256,SAS,DAL,2014-10-28 0:00,2015,1
0.435,0.344,0.741,33.9,12.2,46.1,22.0,7.4,4.7,13.9,22.3,103.4,0.67,110.6,-7.2,94.0,0.276,LAL,HOU,2014-10-28 0:00,2015,0
0.457,0.37,0.751,34.8,12.5,47.3,24.0,7.3,4.6,14.4,20.3,108.2,0.34,107.3,0.9,91.4,0.263,NOP,ORL,2014-10-28 0:00,2015,1
0.455,0.352,0.787,32.9,11.5,44.4,22.1,8.0,5.0,13.8,22.3,111.0,-0.62,107.7,3.3,92.8,0.295,TOR,ATL,2014-10-29 0:00,2015,1
0.456,0.335,0.741,32.9,10.0,42.9,21.8,8.6,4.8,16.2,21.9,103.9,-0.32,106.7,-2.8,90.9,0.306,MIA,WAS,2014-10-29 0:00,2015,1
0.45,0.362,0.801,37.0,11.3,48.2,23.1,6.7,3.7,14.3,19.2,108.2,0.18,103.7,4.5,94.2,0.225,POR,OKC,2014-10-29 0:00,2015,1
0.443,0.327,0.754,33.8,11.5,45.3,25.3,8.5,6.6,14.3,21.9,104.7,-0.56,104.5,0.2,95.8,0.233,BOS,BKN,2014-10-29 0:00,2015,1
0.447,0.343,0.721,35.3,13.3,48.6,22.0,8.4,5.8,16.9,21.3,105.1,0.49,104.9,0.2,90.4,0.297,UTA,HOU,2014-10-29 0:00,2015,0
0.42,0.318,0.748,36.2,10.6,46.9,21.5,6.5,4.8,12.7,19.4,100.1,-0.27,103.5,-3.4,93.0,0.269,CHA,MIL,2014-10-29 0:00,2015,1
0.452,0.341,0.76,33.1,11.2,44.4,20.8,8.8,4.1,15.5,21.9,105.3,0.52,106.2,-0.9,96.3,0.251,PHX,LAL,2014-10-29 0:00,2015,1
0.455,0.341,0.762,34.6,11.3,45.9,21.1,7.0,5.1,16.9,21.5,105.3,0.64,109.2,-3.9,95.4,0.234,SAC,GSW,2014-10-29 0:00,2015,0
0.428,0.347,0.769,32.4,11.5,43.9,23.1,7.6,4.5,16.0,23.4,99.9,-0.18,110.0,-10.1,91.2,0.276,NYK,CHI,2014-10-29 0:00,2015,0
0.458,0.339,0.773,34.5,11.2,45.8,23.3,9.2,4.9,14.3,20.5,105.7,0.38,102.2,3.5,92.0,0.266,MEM,MIN,2014-10-29 0:00,2015,1
0.439,0.352,0.756,36.6,11.1,47.7,22.8,6.6,4.6,14.9,22.6,103.5,-0.51,103.2,0.3,93.2,0.278,IND,PHI,2014-10-29 0:00,2015,1
0.433,0.325,0.734,33.3,12.7,46.0,22.5,8.1,5.3,14.6,23.6,104.5,0.48,108.2,-3.7,96.1,0.303,DEN,DET,2014-10-29 0:00,2015,1
0.473,0.376,0.71,34.8,10.1,44.9,26.1,8.2,4.2,13.0,22.5,112.4,0.22,105.5,6.9,94.7,0.309,LAC,OKC,2014-10-30 0:00,2015,1
0.438,0.332,0.776,30.9,12.2,43.1,22.7,8.6,4.1,15.8,20.2,102.9,0.79,112.2,-9.3,94.4,0.23,MIN,DET,2014-10-30 0:00,2015,1
0.453,0.347,0.729,33.7,10.6,44.4,21.9,8.4,4.5,15.8,22.2,101.6,-0.15,107.7,-6.1,93.8,0.287,ORL,WAS,2014-10-30 0:00,2015,0
0.458,0.367,0.751,34.3,12.0,46.3,23.8,7.9,4.7,15.4,19.8,111.1,-0.4,106.3,4.8,92.3,0.262,CLE,NYK,2014-10-30 0:00,2015,0
0.463,0.352,0.752,33.1,10.9,44.0,23.4,8.4,5.2,13.5,20.9,109.5,0.46,106.4,3.1,95.2,0.258,DAL,UTA,2014-10-30 0:00,2015,1
0.459,0.363,0.757,32.9,11.2,44.2,24.7,10.1,4.7,13.9,23.2,102.7,-0.52,102.2,0.5,94.1,0.276,MIL,PHI,2014-10-31 0:00,2015,1
0.435,0.344,0.741,33.9,12.2,46.1,22.0,7.4,6.2,14.9,22.3,103.4,0.67,110.6,-7.2,94.0,0.304,LAL,LAC,2014-10-31 0:00,2015,0
0.442,0.353,0.783,36.3,12.5,48.8,23.2,6.7,4.9,14.9,19.5,107.5,-0.46,104.3,3.2,92.8,0.266,CHI,CLE,2014-10-31 0:00,2015,0
0.439,0.352,0.756,36.6,11.1,47.7,22.8,6.6,4.8,15.5,22.6,103.5,-0.51,103.2,0.3,93.2,0.251,IND,MEM,2014-10-31 0:00,2015,0
