season_year,player_id,player_name,nickname,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,video_available_flag
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601178,2017-04-06T00:00:00,POR vs. MIN,W,31.73,8,12,0.667,8,10,0.8,1,1,1.0,0,5,5,3,1,1,0,1,4,2,25,13,37.5,0,0,43.0,1,1,1,1,21,3,3,6,1,1,7,30,39,1,18,6,7,6,15,12,18,66,65,11,2,12,1,1,1,1,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601164,2017-04-04T00:00:00,POR @ UTA,L,26.483333333333334,4,7,0.571,0,2,0.0,0,1,0.0,0,2,2,1,0,2,2,0,1,2,8,-2,23.9,0,0,19.0,1,40,40,40,50,26,49,18,62,60,62,43,39,43,18,38,43,28,44,3,1,1,12,11,49,35,19,1,1,32,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600940,2017-04-03T00:00:00,POR @ MIN,L,29.43,5,11,0.455,1,3,0.333,1,2,0.5,0,2,2,2,1,1,0,0,0,1,12,7,19.4,0,0,19.0,1,40,40,40,35,14,8,44,37,41,41,30,17,34,18,38,43,13,15,12,18,1,1,26,27,20,31,1,1,32,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601141,2017-04-01T00:00:00,POR vs. PHX,W,23.73,2,8,0.25,2,6,0.333,0,0,0.0,0,2,2,1,0,0,1,0,2,0,6,-6,12.9,0,0,13.0,1,1,1,1,64,53,36,67,19,9,41,43,46,43,18,38,43,28,44,41,4,1,30,58,58,48,59,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601125,2017-03-30T00:00:00,POR vs. HOU,W,32.151666666666664,7,11,0.636,3,5,0.6,0,0,0.0,0,2,2,2,0,4,0,0,3,0,17,9,34.4,0,0,32.0,1,1,1,1,20,6,8,13,12,15,19,43,46,43,18,38,43,13,44,1,18,1,47,58,11,17,3,1,1,6,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601109,2017-03-28T00:00:00,POR vs. DEN,W,27.683333333333334,1,8,0.125,0,4,0.0,0,0,0.0,0,3,3,0,0,0,1,1,1,1,2,12,8.6,0,0,7.0,1,1,1,1,47,71,36,78,62,28,62,43,46,43,18,22,27,49,44,41,4,66,12,26,77,14,67,1,1,74,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601096,2017-03-26T00:00:00,POR @ LAL,W,29.32,7,12,0.583,4,8,0.5,0,0,0.0,1,5,6,1,0,1,2,0,3,1,18,14,35.7,0,0,35.0,1,1,1,1,36,6,3,17,5,2,23,43,46,43,3,6,3,28,44,12,1,1,47,26,7,8,2,1,1,3,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601086,2017-03-25T00:00:00,POR vs. MIN,W,20.683333333333334,4,7,0.571,2,4,0.5,0,0,0.0,0,3,3,0,1,0,2,0,3,0,10,8,18.6,0,0,19.0,1,1,1,1,74,26,49,18,19,28,23,43,46,43,18,22,27,49,15,41,1,1,47,58,36,18,36,1,1,32,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601071,2017-03-23T00:00:00,POR vs. NYK,W,34.2,4,8,0.5,3,3,1.0,0,0,0.0,1,1,2,2,0,1,1,0,3,0,11,18,22.4,0,0,22.0,1,1,1,1,12,26,36,29,12,41,1,43,46,43,3,56,43,13,44,12,4,1,47,58,31,3,24,1,1,20,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021601057,2017-03-21T00:00:00,POR vs. MIL,L,31.053333333333335,4,11,0.364,1,5,0.2,2,2,1.0,0,5,5,1,1,1,1,1,0,1,11,-2,23.5,0,0,22.0,1,40,40,40,25,26,8,55,37,15,58,15,17,1,18,6,7,28,15,12,4,66,1,26,31,35,21,1,1,20,1
