team_id,season_year,team_city,team_name,team_abbreviation,team_conference,team_division,team_code,team_slug,w,l,pct,conf_rank,div_rank,min_year,max_year,league_id,season_id,pts_rank,pts_pg,reb_rank,reb_pg,ast_rank,ast_pg,opp_pts_rank,opp_pts_pg
1610612737,2022-23,Atlanta,Hawks,ATL,East,Southeast,hawks,hawks,24,24,0.5,8,2,1949,2022,00,22022,9,115.6,15,43.4,21,24.2,21,116.2
1610612738,2022-23,Boston,Celtics,BOS,East,Atlantic,celtics,celtics,35,14,0.714,1,1,1946,2022,00,22022,2,117.6,8,44.5,6,26.6,8,112.0
1610612739,2022-23,Cleveland,Cavaliers,CLE,East,Central,cavaliers,cavaliers,29,20,0.592,5,2,1970,2022,00,22022,26,111.5,23,42.4,22,24.0,1,107.2
1610612740,2022-23,New Orleans,Pelicans,NOP,West,Southwest,pelicans,pelicans,26,22,0.542,4,2,2002,2022,00,22022,9,115.6,7,44.5,9,25.9,15,113.1
1610612741,2022-23,Chicago,Bulls,CHI,East,Central,bulls,bulls,22,25,0.468,10,4,1966,2022,00,22022,13,114.6,22,42.4,19,24.3,18,114.7
1610612742,2022-23,Dallas,Mavericks,DAL,West,Southwest,mavericks,mavericks,25,24,0.51,6,3,1980,2022,00,22022,21,112.9,30,38.6,30,22.1,12,112.5
1610612743,2022-23,Denver,Nuggets,DEN,West,Northwest,nuggets,nuggets,34,14,0.708,1,1,1976,2022,00,22022,7,116.9,18,42.7,2,28.7,13,112.6
1610612744,2022-23,Golden State,Warriors,GSW,West,Pacific,warriors,warriors,23,24,0.489,10,4,1946,2022,00,22022,3,117.6,11,44.1,1,29.2,26,118.0
1610612746,2022-23,LA,Clippers,LAC,West,Pacific,clippers,clippers,26,24,0.52,5,2,1970,2022,00,22022,28,110.2,13,43.9,25,22.9,4,110.6
1610612747,2022-23,Los Angeles,Lakers,LAL,West,Pacific,lakers,lakers,22,26,0.458,13,5,1948,2022,00,22022,5,117.1,6,44.6,17,24.9,27,118.3
1610612748,2022-23,Miami,Heat,MIA,East,Southeast,heat,heat,27,22,0.551,6,1,1988,2022,00,22022,30,108.4,26,41.6,23,23.5,2,108.2
1610612749,2022-23,Milwaukee,Bucks,MIL,East,Central,bucks,bucks,30,17,0.638,3,1,1968,2022,00,22022,18,113.2,2,48.3,16,24.9,7,111.8
1610612751,2022-23,Brooklyn,Nets,BKN,East,Atlantic,nets,nets,29,17,0.63,4,3,1976,2022,00,22022,16,113.7,29,40.6,8,26.3,5,110.7
1610612752,2022-23,New York,Knicks,NYK,East,Atlantic,knicks,knicks,26,23,0.531,7,4,1946,2022,00,22022,14,114.1,3,47.3,27,22.6,9,112.1
1610612753,2022-23,Orlando,Magic,ORL,East,Southeast,magic,magic,18,29,0.383,13,4,1989,2022,00,22022,27,111.0,17,42.7,28,22.4,17,114.3
1610612754,2022-23,Indiana,Pacers,IND,East,Central,pacers,pacers,24,25,0.49,9,3,1976,2022,00,22022,12,115.0,23,42.4,7,26.5,23,116.6
1610612755,2022-23,Philadelphia,76ers,PHI,East,Atlantic,sixers,sixers,30,16,0.652,2,2,1949,2022,00,22022,15,114.1,28,40.7,15,25.1,3,110.2
1610612756,2022-23,Phoenix,Suns,PHX,West,Pacific,suns,suns,25,24,0.51,7,3,1968,2022,00,22022,20,113.0,14,43.6,5,27.0,6,111.7
1610612757,2022-23,Portland,Trail Blazers,POR,West,Northwest,blazers,blazers,22,25,0.468,12,5,1970,2022,00,22022,17,113.6,16,42.8,20,24.3,14,113.1
1610612758,2022-23,Sacramento,Kings,SAC,West,Pacific,kings,kings,27,19,0.587,3,1,1948,2022,00,22022,1,120.3,25,42.3,4,27.2,24,116.7
1610612759,2022-23,San Antonio,Spurs,SAS,West,Southwest,spurs,spurs,14,33,0.298,14,4,1976,2022,00,22022,19,113.1,19,42.7,3,27.2,30,122.0
1610612760,2022-23,Oklahoma City,Thunder,OKC,West,Northwest,thunder,thunder,23,24,0.489,11,4,1967,2022,00,22022,8,116.6,10,44.2,18,24.5,19,115.5
1610612761,2022-23,Toronto,Raptors,TOR,East,Atlantic,raptors,raptors,21,27,0.438,12,5,1995,2022,00,22022,23,112.6,21,42.5,24,23.1,11,112.4
1610612762,2022-23,Utah,Jazz,UTA,West,Northwest,jazz,jazz,25,25,0.5,8,2,1974,2022,00,22022,4,117.6,9,44.4,10,25.7,22,116.3
1610612763,2022-23,Memphis,Grizzlies,MEM,West,Southwest,grizzlies,grizzlies,31,16,0.66,2,1,1995,2022,00,22022,6,117.0,1,49.0,11,25.4,10,112.4
1610612765,2022-23,Detroit,Pistons,DET,East,Central,pistons,pistons,12,37,0.245,15,5,1948,2022,00,22022,24,112.4,20,42.5,26,22.6,29,120.3
1610612766,2022-23,Charlotte,Hornets,CHA,East,Southeast,hornets,hornets,13,36,0.265,14,5,1988,2022,00,22022,25,112.0,5,44.8,13,25.2,28,119.1
